canonical_perturbation,role,rank,gene_id,gene_name,effect_a,effect_b,observed_ab,additive,residual,conditional_cell_sampling_se,ci95_low,ci95_high,same_sign_lane_fraction,significance
CEBPA+CEBPB,largest_canonical_residual,1,ENSG00000204482,LST1,2.468826236001868,1.1418598699311668,2.224714134597645,3.6106861059330346,-1.385971971335389,0.16518386490528894,-1.7097323465497554,-1.0622115961210228,1.0,not_estimable_independent_bioreplicates_absent
CEBPA+CEBPB,largest_canonical_residual,2,ENSG00000204472,AIF1,1.4499571983816044,0.998836504932539,1.1621128193024948,2.448793703314143,-1.2866808840116488,0.13777867920513487,-1.5567270952537131,-1.0166346727695845,1.0,not_estimable_independent_bioreplicates_absent
CEBPA+CEBPB,largest_canonical_residual,3,ENSG00000197766,CFD,2.103944519112817,0.9590093668616706,1.932223023906422,3.062953885974488,-1.1307308620680658,0.19513738670616465,-1.5132001400121484,-0.7482615841239831,1.0,not_estimable_independent_bioreplicates_absent
CEBPA+CEBPB,largest_canonical_residual,4,ENSG00000011600,TYROBP,1.9129342207852829,0.7851622436795556,1.7168008118758846,2.6980964644648386,-0.9812956525889539,0.1677092042196138,-1.3100056928593968,-0.6525856123185109,1.0,not_estimable_independent_bioreplicates_absent
CEBPA+CEBPB,largest_canonical_residual,5,ENSG00000227706,RP11-301G19.1,1.1382105667766234,0.9320182739775381,1.089399331608004,2.0702288407541616,-0.9808295091461576,0.10840850742963377,-1.1933101837082398,-0.7683488345840754,1.0,not_estimable_independent_bioreplicates_absent
CEBPA+ZC3HAV1,lowest_relative_residual_above_median_observed_rms,1,ENSG00000187837,HIST1H1C,-0.8643457116295672,-0.33183533473100224,-0.5067614808726131,-1.1961810463605693,0.6894195654879561,0.1214827140610143,0.4513134459283681,0.9275256850475442,1.0,not_estimable_independent_bioreplicates_absent
CEBPA+ZC3HAV1,lowest_relative_residual_above_median_observed_rms,2,ENSG00000122862,SRGN,1.0853072945945321,-0.0010732842194810543,1.503119707890328,1.084234010375051,0.41888569751527693,0.1409870486640472,0.1425510821337444,0.6952203128968095,0.75,not_estimable_independent_bioreplicates_absent
CEBPA+ZC3HAV1,lowest_relative_residual_above_median_observed_rms,3,ENSG00000205542,TMSB4X,1.4638856986328035,0.1253058853024051,1.2001787526000767,1.5891915839352087,-0.38901283133513237,0.10632852597077755,-0.5974167422378563,-0.18060892043240837,0.875,not_estimable_independent_bioreplicates_absent
CEBPA+ZC3HAV1,lowest_relative_residual_above_median_observed_rms,4,ENSG00000204482,LST1,2.468826236001868,-0.029439944084252993,2.0525605720382285,2.439386291917615,-0.38682571987938597,0.1493498575496388,-0.679551440676678,-0.09409999908209388,0.875,not_estimable_independent_bioreplicates_absent
CEBPA+ZC3HAV1,lowest_relative_residual_above_median_observed_rms,5,ENSG00000100097,LGALS1,0.9041676659107013,-0.12753059676318468,1.144372820940412,0.7766370691475166,0.36773575179289497,0.12662724961632865,0.11954634254489083,0.6159251610408991,0.875,not_estimable_independent_bioreplicates_absent
CEBPA+CEBPE,largest_lane_sign_supported_residual,1,ENSG00000204482,LST1,2.468826236001868,1.5390788557249582,2.400576425952055,4.007905091726826,-1.6073286657747707,0.09999798894197347,-1.8033247241010386,-1.4113326074485029,1.0,not_estimable_independent_bioreplicates_absent
CEBPA+CEBPE,largest_lane_sign_supported_residual,2,ENSG00000204472,AIF1,1.4499571983816044,1.0503580565468447,1.3603701535825046,2.500315254928449,-1.1399451013459443,0.08193017635497794,-1.300528247001701,-0.9793619556901876,1.0,not_estimable_independent_bioreplicates_absent
CEBPA+CEBPE,largest_lane_sign_supported_residual,3,ENSG00000149516,MS4A3,1.6295664308282385,0.8909041950329082,1.5270942563765972,2.5204706258611465,-0.9933763694845495,0.08830947261799649,-1.1664629358158227,-0.8202898031532764,1.0,not_estimable_independent_bioreplicates_absent
CEBPA+CEBPE,largest_lane_sign_supported_residual,4,ENSG00000143013,LMO4,1.175000981461839,1.036190835300908,1.226225326212281,2.2111918167627467,-0.9849664905504659,0.09064934776186587,-1.162639212163723,-0.8072937689372088,1.0,not_estimable_independent_bioreplicates_absent
CEBPA+CEBPE,largest_lane_sign_supported_residual,5,ENSG00000026025,VIM,1.653111663329527,1.0017458370398098,1.7016279078766643,2.654857500369337,-0.9532295924926724,0.0817682275192578,-1.1134953184304177,-0.792963866554927,1.0,not_estimable_independent_bioreplicates_absent
